,Hotel,Review,Score
5698,Park Lane Mews Hotel, extremely helpful of manageress on departing in arranging for taxi to collect our luggage from the hotel and deliver it to us at Euston station leaving us free to enjoy our last morning without having to return to the hotel to collect the luggage As wife on stick hotel arranged a room with walk in shower,0.8622
5699,Park Lane Mews Hotel, Very friendly and helpful staff,0.762
5700,Park Lane Mews Hotel, The location of this hotel is excellent It is walking distance from two Underground stations and very close to both Hyde Park and Green Park if you are looking to enjoy London s parks The team are friendly and helpful ,0.9169
5701,Park Lane Mews Hotel, It is quiet and peaceful with very comfy beds and a beautiful breakfast,0.7964
5702,Park Lane Mews Hotel, The location was perfect for us and the reason we chose this hotel It was all a little dated which is why it fell into a lower price range for the area but perfectly clean Being a mews style property it was located on a small side street and very quiet for central London The staff were very friendly and helpful ,0.968
5703,Park Lane Mews Hotel, my son had to visit the American Embassy and the location of the hotel couldn t be better there was an option for air con in the room which was great the breakfast great good choice and the staff brilliant Tube within 5 10 mins walk also great location to see the Palace it was only 8 minuet walk through the park all in all a great stay thank you ,0.9826
5704,Park Lane Mews Hotel, A superb location with a very welcoming atmosphere from all staff excellent choice at breakfast Extremely good value for money,0.9506
5705,Park Lane Mews Hotel, Good value for type of accommodation Room clean and comfortable Reception staff good Very convenient central location ,0.9217
5706,Park Lane Mews Hotel, Location,0
5707,Park Lane Mews Hotel, friendly staff great location easy to get around,0.8807
5708,Park Lane Mews Hotel, Everything,0
5710,Park Lane Mews Hotel, Upgrade to king size room clean and quiet The staff especially Glenn and Sandya were excellent friendly and very helpful Breakfast was excellent ,0.9468
5711,Park Lane Mews Hotel, Staff were very friendly and helpful ,0.762
5712,Park Lane Mews Hotel, Welcome at the hotel,0.4588
5713,Park Lane Mews Hotel, the reviews do not do the hotel justice It was welcoming on the outside and reception were welcoming on the inside Our room was lovely clean and cosy Nice to have coffee and tea facilities as so many don t these days Bathroom very clean and plenty of hot water Near tube station and ideal location if you are visiting London and want to visit everything ,0.9756
5715,Park Lane Mews Hotel, The location is convenient ,0
5716,Park Lane Mews Hotel, room was comfortable with plenty of space good sized bathroom location was quiet short walk to tube station ,0.7351
5718,Park Lane Mews Hotel, The corridors and reception paint work was very scruffy the hotel looked very down at heal would have to improve for us to stay again TV in the room was very antiquated ,0.4404
5720,Park Lane Mews Hotel, Location,0
5721,Park Lane Mews Hotel, Yes the rooms are a little tired that s why it s cheaper But everything worked Reception and breakfast staff all very friendly well done Kate Excellent value for money ,0.9517
5722,Park Lane Mews Hotel, Staff were helpful and courteous,0.7269
5723,Park Lane Mews Hotel, Staff were lovely Brilliant position in centre of London Surprisingly quite despite being just off Park Lane ,0.8689
5724,Park Lane Mews Hotel, The location only,0
5725,Park Lane Mews Hotel, Really good breakfast ,0.4927
5726,Park Lane Mews Hotel, Staff were pleasant and helpful and the breakfast was pleasant ,0.8555
5727,Park Lane Mews Hotel, Location,0
5730,Park Lane Mews Hotel, Location breakfast,0
5731,Park Lane Mews Hotel, Staffs were freindly breakfast was good best location ,0.7964
5732,Park Lane Mews Hotel, The hotel s position was fabulous in a small mews and close to lovely shops pubs and restaurants The bar restaurant was comfortable and smart and a lovely place to have a pre dinner drink before heading out into Mayfair ,0.9517
5734,Park Lane Mews Hotel, location that s about all,0
5735,Park Lane Mews Hotel, The best kept secret in Park Lane Fantastic staff and brilliant location The staff are all so happy and do anything to please you and they go that extra mile ,0.962
5736,Park Lane Mews Hotel, The location,0
5737,Park Lane Mews Hotel, Friendly reception staff great location within walking distance of main attractions ,0.8779
5738,Park Lane Mews Hotel, The location is great It was a lovely building once upon a time ,0.836
5739,Park Lane Mews Hotel, The staff were lovely and it s a great location,0.836
5740,Park Lane Mews Hotel, Location excellent ,0.5719
5741,Park Lane Mews Hotel, Location excellent 5 minutes walk from Green Park Tube Staff friendly and helpful Breakfast very nice Rooms very quiet and nice Will definitely stay again ,0.9556
5742,Park Lane Mews Hotel, Breakfast and the staff,0
5743,Park Lane Mews Hotel, Location is excellent Reception Staff friendly v helpful Two night stay vfm when Sunday night discounted rate applied ,0.872
5744,Park Lane Mews Hotel, Location and breakfast choice was perfect,0.5719
5747,Park Lane Mews Hotel, This is a friendly hotel in a great location breakfast was really good had a great time ,0.9392
5748,Park Lane Mews Hotel, Location was excellent,0.5719
5749,Park Lane Mews Hotel, Excellent staff and location A reakky welcoming place with a wide variety of guests ,0.765
5750,Park Lane Mews Hotel, Location is excellent,0.5719
5751,Park Lane Mews Hotel, Good location Polite service Excellent choice at breakfast clean ,0.8519
5752,Park Lane Mews Hotel, So close to Hyde park and Mayfair and practically centrally located to all the ammenities and public transport ,0
5753,Park Lane Mews Hotel, The situation is perfect but this is not enough for the rest ,0.3291
5755,Park Lane Mews Hotel, Compares well with other properties for the price and great location and very friendly staff ,0.8655
5756,Park Lane Mews Hotel, Over all it was a very pleasant experience with the staff very helpful and the breakfast was very enjoyable The location was ideal for the business appointment we had for that visit ,0.9228
5757,Park Lane Mews Hotel, Location is ideal and close to tube ,0.5267
5758,Park Lane Mews Hotel, Staff were friendly and helpful Location is great for Mayfair Hyde Park and a reasonable price ,0.8779
5759,Park Lane Mews Hotel, the staff were v friendly and welcoming Reception gave a lovely impression of the hotel Until we went upstairs ,0.8957
5760,Park Lane Mews Hotel, Staff and location,0
5761,Park Lane Mews Hotel, Amazing location excellent breakfast and very friendly staff The hotel looks lovely with a very attractive reception and dining area I would definitely stay again at the right price ,0.9669
5762,Park Lane Mews Hotel, Brilliant position helpful staff Plenty of tea coffee milk Small but comfortable room with plenty of storage space proper bath with big towels ,0.8294
5763,Park Lane Mews Hotel, helpful staff at reception Good location,0.6908
5764,Park Lane Mews Hotel, The location is great and rooms are decent enough,0.6249
5765,Park Lane Mews Hotel, Location,0
5766,Park Lane Mews Hotel, Good location Nice and quiet considering just off Park Lane Buffet breakfast was very good Plenty of choice though dining area small Get there early Shepherd Market right behind hotel is a gem of a find ,0.8357
5767,Park Lane Mews Hotel, Great location within 5min walk to Green Park and Hyde Park Corner stations and lots of nice pubs cafes nearby Great service from the reception staff,0.9001
5768,Park Lane Mews Hotel, Good location ,0.4404
5769,Park Lane Mews Hotel, Comfortable bed ,0.5106
5771,Park Lane Mews Hotel, Breakfast was good the location was perfect and the staff was mostly friendly The room was clean ,0.91
5772,Park Lane Mews Hotel, Staff were very friendly and helpful especially the wait staff at breakfast who were brilliant attentive and welcoming ,0.9225
5773,Park Lane Mews Hotel, Staff Were extremly plesent But im sure this was to make up for the shabby ness of the hotel ,0.4497
5774,Park Lane Mews Hotel, Only the location,0
5775,Park Lane Mews Hotel, clean sheets,0.4019
5776,Park Lane Mews Hotel, Lovely staff on reception very friendly and welcoming Lovely location in terms of tourist sights and walks ,0.9355
5777,Park Lane Mews Hotel, Location is good ,0.4404
5778,Park Lane Mews Hotel, Location and quiet Hotel very tired and cold heating not in room Badly needs refurbishing Would not go again Staff excellent ,0.4698
5779,Park Lane Mews Hotel, The location was ideal and value for money considering the location was excellent We thought the hotel itself was very homely and full of character ,0.8591
5780,Park Lane Mews Hotel, Decent location just behind Park Lane and close to good restaurants Walking distance to Oxford Street ,0.4404
5781,Park Lane Mews Hotel, Staff were friendly enough although not sure if Receptionest understood us,0.3045
5782,Park Lane Mews Hotel, The room was very good value for the money and the Hotel is very central ,0.707
5783,Park Lane Mews Hotel, Location was amazing Value for money at the time was incredible Room was lovely Super comfy bed Breakfast Was tasty I highly recommend their cooked breakfast but the the serving of warm croissants was amazing ,0.9479
5784,Park Lane Mews Hotel, Its location was perfect for me as I was attending a function at the Grosvenor House in Park Lane very good value for Mayfair,0.8615
5785,Park Lane Mews Hotel, Location was excellent,0.5719
5786,Park Lane Mews Hotel, Location is great breakfast and staff all very nice and helpful ,0.8822
5787,Park Lane Mews Hotel, We were upgraded when we got there The reception staff were lovely The downstairs lounge was cozy Quite close to Hyde park green park station Buckingham palace and surrounds Good hairdryer in the room and it was clean ,0.8555
5788,Park Lane Mews Hotel, Excellent location and good value for central London,0.8402
5789,Park Lane Mews Hotel, Price was good,0.4404
5790,Park Lane Mews Hotel, Location The period furniture and decor in the reception and dining room The staff were friendly The tea and coffee facilities in the room mugs instead of tea cups ,0.4939
5791,Park Lane Mews Hotel, Great location for my requirements Easy friendly check in service ,0.8807
5792,Park Lane Mews Hotel, Very good for a very good price friendly staff,0.8705
5793,Park Lane Mews Hotel, The staff was very kind and understanding 5 Min from Hyde Park Corner station Clean,0.7501
5794,Park Lane Mews Hotel, Location is quite good but next time will research the area for a better hotel,0.7137
5796,Park Lane Mews Hotel, The staff on the reception desk has been very friendly and try to assist as much as they can ,0.5413
5797,Park Lane Mews Hotel, Great location for Mayfair and extremely good value for money The room was small but perfectly adequate for an overnight stay The staff were friendly and helpful I would certainly stay here again ,0.977
5799,Park Lane Mews Hotel, Perfect location and very central,0.5719
5800,Park Lane Mews Hotel, The location is right near Hyde park but set back of any main roads,0
5801,Park Lane Mews Hotel, We stayed in the Park Lane Marriot the night before the breakfast could not compare with the Park Lane Mews breakfast which was hot and excellent Will stay again,0.5719
5802,Park Lane Mews Hotel, Close to Hyde park for winter wonderland got discounted rate which was a fair reflection of the room quality ok for one sleepless night ,0.5719
5803,Park Lane Mews Hotel, The location,0
5804,Park Lane Mews Hotel, Good location and fantastic breakfast sausages were best I have had ,0.8934
5806,Park Lane Mews Hotel, This is a fantastic hotel with brilliant staff in a fantastic location You could wish for any better in this very prestigious area and business meeting s location,0.9485
